filename,set,label
normal (54),val,normal
benign (218),val,benign
normal (6),val,normal
benign (178),val,benign
benign (179),val,benign
benign (50),val,benign
benign (227),val,benign
malignant (147),val,malignant
malignant (110),val,malignant
benign (163),val,benign
benign (384),val,benign
malignant (159),val,malignant
normal (40),val,normal
benign (191),val,benign
benign (314),val,benign
malignant (29),val,malignant
benign (393),val,benign
benign (316),val,benign
benign (168),val,benign
benign (418),test,benign
malignant (180),test,malignant
benign (47),test,benign
normal (10),test,normal
benign (109),test,benign
benign (13),test,benign
benign (435),test,benign
normal (62),test,normal
normal (17),test,normal
malignant (193),test,malignant
benign (207),test,benign
malignant (33),test,malignant
benign (224),test,benign
benign (307),test,benign
benign (336),test,benign
benign (39),test,benign
benign (205),test,benign
benign (247),test,benign
benign (278),test,benign
benign (145),test,benign
benign (309),test,benign
benign (177),test,benign
benign (252),test,benign
normal (132),test,normal
malignant (210),test,malignant
benign (304),test,benign
benign (95),test,benign
malignant (104),test,malignant
benign (271),test,benign
malignant (37),test,malignant
malignant (170),test,malignant
malignant (161),test,malignant
benign (263),test,benign
malignant (143),test,malignant
normal (80),test,normal
benign (290),test,benign
normal (83),test,normal
malignant (109),test,malignant
malignant (157),test,malignant
benign (54),test,benign
benign (66),test,benign
malignant (40),test,malignant
benign (186),test,benign
normal (19),test,normal
benign (141),test,benign
normal (25),test,normal
malignant (197),test,malignant
malignant (91),test,malignant
benign (256),test,benign
benign (296),test,benign
benign (416),test,benign
benign (213),test,benign
benign (409),test,benign
normal (118),test,normal
benign (424),test,benign
normal (67),test,normal
normal (35),test,normal
malignant (179),test,malignant
benign (160),test,benign
malignant (134),test,malignant
benign (132),test,benign
benign (146),test,benign
benign (319),test,benign
normal (74),test,normal
benign (358),test,benign
benign (237),test,benign
benign (429),test,benign
malignant (7),test,malignant
benign (385),test,benign
benign (392),test,benign
benign (40),test,benign
benign (408),test,benign
malignant (95),test,malignant
benign (90),test,benign
malignant (167),test,malignant
malignant (169),test,malignant
normal (94),test,normal
malignant (18),test,malignant
